SCH_ID,REGION,DISTRICT,TEHSIL,UC,SCH_PREFIX,SCH_NAME,STATUS,SCH_LEVEL,SCH_GENDER,LONGITUDE,LATITUDE
401020397,Hyderabad,Badin,Golarchi-S.F.Rao,Dadhako,GBPS,HAJI AMEER BUX JAT,Functional,Primary,Boys,68.532,24.7166
401020398,Hyderabad,Badin,Golarchi-S.F.Rao,Dadhako,GBPS,Arab Nohani,Functional,Primary,Mixed,68.5531,24.7217
401020400,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,NAZIR AHMAD SEHTO,Functional,Primary,Boys,68.565,24.8306
401020401,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,BAQA SAMOON,Functional,Primary,Boys,68.4944,24.8133
401020402,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,AHMED SAMOON@ACHAR MALLAH,Functional,Primary,Boys,68.4544,24.7917
401020403,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,MUHAMMAD QASIM MALLAH,Functional,Primary,Mixed,68.4544,24.8192
401020404,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,DODO MALLAH,Functional,Primary,Mixed,68.4958,24.8433
401020411,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HASHMIN PANHWAR,Functional,Primary,Mixed,68.4883,24.7203
401020412,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,SUKHIO MAHERI,Functional,Primary,Boys,68.5469,24.8061
401020434,Hyderabad,Badin,Golarchi-S.F.Rao,Khorwah,GBPS,Soomar Chang,Functional,Primary,Mixed,68.4331,24.7692
401020444,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,MOOSA CHANG,Functional,Primary,Boys,68.5492,24.8772
401020006,Hyderabad,Badin,Golarchi-S.F.Rao,Fateh Abad,GBPS,RAMZAN ABRO,Functional,Primary,Boys,68.7086,24.6314
401020352,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,IBRAHIM JATOI,Functional,Primary,Boys,68.5436,24.6675
401020353,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,SIDDIQUE JATOI,Functional,Primary,Mixed,68.5242,24.6472
401020359,Hyderabad,Badin,Golarchi-S.F.Rao,Khorwah,GBPS,MANHE JAT,Functional,Primary,Boys,68.4589,24.6728
401020363,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,GHULAM MUHAMMAD BHATTI,Functional,Primary,Mixed,68.5239,24.6838
401020375,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,GOLARCHI,Functional,Primary,Mixed,68.5348,24.6512
401020376,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,WARD NO. 3 GOLARCHI,Functional,Primary,Mixed,68.5303,24.6475
401020388,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,AZIZ ABAD,Functional,Primary,Mixed,68.5105,24.6767
401020389,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,ALI HASSAN ZEENDPUR,Functional,Primary,Mixed,68.4881,24.6422
401020392,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,HASHIM BANGALI,Functional,Primary,Mixed,68.5486,24.6003
401020409,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,SATRAMDAS PERMAR,Functional,Primary,Mixed,68.5297,24.6861
401020431,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,BHOORO MAL KOLHI @ KHETOMAL KOLHI,Functional,Primary,Mixed,68.5478,24.6297
401020440,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,HAJI USMAN JAT,Functional,Primary,Boys,68.5297,24.6961
